Id	Cluster	Interpretation	Family
53159	1	Vibration	Turbine
53326	14	Tank level	OIl
53141	7	Sump/Scavange	Oil
53170	16	ABAL system	Combustion
53174	5	Speed shaft	GearBox
53314	30	Temperature	Turbine
53338	5	Speed shaft	GearBox
53262	29	Fuel gas	Combustion
53288	30	Temperature	Turbine
53391	10	Drive end	Compressor
53357	5	Speed shaft	GearBox
53316	34	Bleed	Valve
53325	1	Vibration	Turbine
53328	30	Temperature	Turbine
53319	30	Temperature	Turbine
53335	13	Lean/Lean mode	Combustion
53343	5	Speed shaft	GearBox
53341	22	Filter	Air
53412	30	Temperature	Turbine
53439	30	Temperature	Turbine
53424	13	Lean/Lean mode	Combustion
53449	19	 Exhaust thermocouple	Turbine
53458	19	 Exhaust thermocouple	Turbine
53447	19	 Exhaust thermocouple	Turbine
53728	19	 Exhaust thermocouple	Turbine
53486	24	Temperature	Bearing
53477	13	Lean/Lean mode	Combustion
53518	22	Filter	Air
53618	1	Vibration	Turbine
53562	3	Header temperature	Oil
53581	3	Header temperature	Oil
53594	13	Lean/Lean mode	Combustion
53602	19	 Exhaust thermocouple	Turbine
53613	26	Gas	Seal
53619	34	Bleed	Valve
53673	24	Temperature	Bearing
53654	7	Sump/Scavange	Oil
53750	30	Temperature	Turbine
53783	16	ABAL system	Combustion
53745	30	Temperature	Turbine
53794	30	Temperature	Turbine
53789	30	Temperature	Turbine
53797	19	 Exhaust thermocouple	Turbine
53809	19	 Exhaust thermocouple	Turbine
53815	30	Temperature	Turbine
53832	30	Temperature	Turbine
53825	20	Hydraulic oil filter pressure	Oil
53833	19	 Exhaust thermocouple	Turbine
53866	7	Sump/Scavange	Oil
53863	24	Temperature	Bearing
53862	10	Drive end	Compressor
53875	7	Sump/Scavange	Oil
53876	1	Vibration	Turbine
53885	17	Primary vent	Compressor
53878	1	Vibration	Turbine
53879	5	Speed shaft	GearBox
53919	19	 Exhaust thermocouple	Turbine
53928	19	 Exhaust thermocouple	Turbine
53922	35	Supply temperature	Oil
53916	20	Hydraulic oil filter pressure	Oil
53930	33	Inlet pressure	Air
53934	19	 Exhaust thermocouple	Turbine
53964	22	Filter	Air
53939	30	Temperature	Turbine
53963	34	Bleed	Valve
54241	30	Temperature	Turbine
53971	25	Tank pressure	Oil
53965	25	Tank pressure	Oil
54011	1	Vibration	Turbine
54004	20	Hydraulic oil filter pressure	Oil
54002	34	Bleed	Valve
54016	19	 Exhaust thermocouple	Turbine
54035	30	Temperature	Turbine
54019	7	Sump/Scavange	Oil
54037	29	Fuel gas	Combustion
54033	24	Temperature	Bearing
54081	1	Vibration	Turbine
54045	19	 Exhaust thermocouple	Turbine
54050	35	Supply temperature	Oil
54065	33	Inlet pressure	Air
54078	28	Flame	Combustion
54101	7	Sump/Scavange	Oil
54080	19	 Exhaust thermocouple	Turbine
54086	16	ABAL system	Combustion
54085	21	Gas	Turbine
54088	19	 Exhaust thermocouple	Turbine
54112	1	Vibration	Turbine
54125	28	Flame	Combustion
54103	19	 Exhaust thermocouple	Turbine
54124	7	Sump/Scavange	Oil
54134	22	Filter	Air
54120	19	 Exhaust thermocouple	Turbine
54126	1	Vibration	Turbine
54155	3	Header temperature	Oil
54158	7	Sump/Scavange	Oil
54176	19	 Exhaust thermocouple	Turbine
54188	13	Lean/Lean mode	Combustion
54190	20	Hydraulic oil filter pressure	Oil
54189	34	Bleed	Valve
54244	30	Temperature	Turbine
54238	24	Temperature	Bearing
54261	7	Sump/Scavange	Oil
54279	12	Discharge temperature	Compressor
54281	25	Tank pressure	Oil
54280	17	Primary vent	Compressor
54302	30	Temperature	Turbine
54295	34	Bleed	Valve
54301	19	 Exhaust thermocouple	Turbine
54327	33	Inlet pressure	Air
54317	30	Temperature	Turbine
54318	24	Temperature	Bearing
54346	19	 Exhaust thermocouple	Turbine
54354	7	Sump/Scavange	Oil
54361	19	 Exhaust thermocouple	Turbine
54428	19	 Exhaust thermocouple	Turbine
54425	24	Temperature	Bearing
54438	1	Vibration	Turbine
54434	30	Temperature	Turbine
54442	33	Inlet pressure	Air
54439	33	Inlet pressure	Air
54469	22	Filter	Air
54449	29	Fuel gas	Combustion
54490	7	Sump/Scavange	Oil
54498	22	Filter	Air
54527	22	Filter	Air
54523	24	Temperature	Bearing
54522	34	Bleed	Valve
54539	1	Vibration	Turbine
54541	30	Temperature	Turbine
54566	7	Sump/Scavange	Oil
54569	19	 Exhaust thermocouple	Turbine
54567	19	 Exhaust thermocouple	Turbine
54590	29	Fuel gas	Combustion
54776	35	Supply temperature	Oil
54618	7	Sump/Scavange	Oil
54610	19	 Exhaust thermocouple	Turbine
54611	30	Temperature	Turbine
54619	24	Temperature	Bearing
54706	20	Hydraulic oil filter pressure	Oil
54656	1	Vibration	Turbine
54705	30	Temperature	Turbine
54682	19	 Exhaust thermocouple	Turbine
54763	28	Flame	Combustion
54787	19	 Exhaust thermocouple	Turbine
54762	19	 Exhaust thermocouple	Turbine
54792	33	Inlet pressure	Air
54796	30	Temperature	Turbine
54810	30	Temperature	Turbine
54825	33	Inlet pressure	Air
54859	5	Speed shaft	GearBox
54844	7	Sump/Scavange	Oil
54857	20	Hydraulic oil filter pressure	Oil
54860	33	Inlet pressure	Air
54861	19	 Exhaust thermocouple	Turbine
54913	16	ABAL system	Combustion
54911	26	Gas	Seal
54912	33	Inlet pressure	Air
54916	7	Sump/Scavange	Oil
54965	19	 Exhaust thermocouple	Turbine
54975	24	Temperature	Bearing
54988	19	 Exhaust thermocouple	Turbine
55004	19	 Exhaust thermocouple	Turbine
55010	17	Primary vent	Compressor
55211	30	Temperature	Turbine
55017	19	 Exhaust thermocouple	Turbine
55028	19	 Exhaust thermocouple	Turbine
55038	22	Filter	Air
55220	30	Temperature	Turbine
55044	24	Temperature	Bearing
55047	24	Temperature	Bearing
55065	20	Hydraulic oil filter pressure	Oil
55090	19	 Exhaust thermocouple	Turbine
55114	30	Temperature	Turbine
55098	24	Temperature	Bearing
55099	24	Temperature	Bearing
55208	5	Speed shaft	GearBox
55091	22	Filter	Air
55101	7	Sump/Scavange	Oil
55103	20	Hydraulic oil filter pressure	Oil
55109	16	ABAL system	Combustion
55142	24	Temperature	Bearing
55179	24	Temperature	Bearing
55130	5	Speed shaft	GearBox
55115	7	Sump/Scavange	Oil
55153	33	Inlet pressure	Air
55151	24	Temperature	Bearing
55152	1	Vibration	Turbine
55173	5	Speed shaft	GearBox
55190	19	 Exhaust thermocouple	Turbine
55214	24	Temperature	Bearing
55244	24	Temperature	Bearing
55238	29	Fuel gas	Combustion
55239	34	Bleed	Valve
55256	16	ABAL system	Combustion
55260	24	Temperature	Bearing
55250	30	Temperature	Turbine
55258	5	Speed shaft	GearBox
55281	7	Sump/Scavange	Oil
55275	30	Temperature	Turbine
55270	24	Temperature	Bearing
55286	30	Temperature	Turbine
55548	30	Temperature	Turbine
55357	16	ABAL system	Combustion
55353	34	Bleed	Valve
55367	21	Gas	Turbine
55368	21	Gas	Turbine
55379	1	Vibration	Turbine
